fips_id	precinct_number	precinct	population_total	population_black	population_asian	population_white	population_multiracial	population_other	population_hispanic	housing_units
51700	311	NEWMARKET	4311	2649	35	1300	224	103	167	2137
51700	312	NEWSOME PARK	1176	1065	6	51	40	14	24	585
51700	313	REED	3124	2816	6	95	155	52	79	1518
51700	314	RIVER	2403	1059	34	1063	183	64	107	1294
51700	315	SEDGEFIELD	3003	854	94	1705	253	97	196	1306
51700	316	SOUTH MORRISON	4230	1885	166	1643	310	226	374	1896
51700	317	WASHINGTON	998	888	2	49	44	15	35	468
51700	318	WILSON	1665	1284	11	209	111	50	85	776
51700	319	SAUNDERS	6169	2128	183	3090	510	258	540	3109
51700	320	WATKINS	8209	2343	245	4220	707	694	1006	3651
51710	101	GRANBY	6659	2285	190	3338	550	296	619	3562
51710	102	OCEAN VIEW SCHOOL	3354	663	70	2082	351	188	401	2071
51710	103	NORTHSIDE	4197	749	194	2510	455	289	574	1755
51710	203	GHENT SQUARE	2028	134	139	1495	182	78	123	1168
51710	207	LAMBERT'S POINT	6706	3768	208	2084	461	185	363	2710
51710	208	LARCHMONT LIBRARY	2624	54	40	2282	222	26	136	984
51710	210	MAURY	4139	441	196	3005	400	97	291	2366
51710	211	CHRYSLER MUSEUM	5835	588	447	4218	477	105	407	4204
51710	212	PARK PLACE	3749	2519	75	782	249	124	226	1723
51710	213	TAYLOR ELEMENTARY SCHOOL	4154	300	144	3302	316	92	224	2325
51710	214	STUART	4167	835	98	2780	368	86	253	1996
51710	215	SUBURBAN PARK	3418	920	117	1981	324	76	220	1807
51710	217	WESLEY	4674	1813	236	1796	433	396	605	2041
51710	218	WILLARD	5036	677	184	3618	457	100	366	2311
51710	301	BALLENTINE	4693	3116	77	1007	326	167	386	1917
51710	302	TANNERS CREEK	3491	1780	205	983	263	260	431	1631
51710	304	COLEMAN PLACE SCHOOL	2590	1594	157	534	187	118	190	1106
51710	305	LAFAYETTE-WINONA	3313	1833	53	1002	288	137	265	1454
51710	306	LINDENWOOD	2739	1872	26	585	186	70	138	1270
51710	310	ROSEMONT	6655	4708	137	894	451	465	769	3107
51710	313	UNION CHAPEL	2237	1934	18	123	123	39	95	985
51710	402	BERKLEY	3159	2830	12	136	140	41	115	1370
51710	404	CAMPOSTELLA	3902	3406	32	223	158	83	156	1728
51710	405	CHESTERFIELD	5965	5359	59	257	164	126	210	1464
51710	406	BARRON BLACK	2865	791	333	1283	314	144	332	1150
51710	408	EASTON	4342	1736	274	1786	351	195	414	1936
51710	409	FAIRLAWN	3515	1218	245	1653	277	122	320	1422
51710	412	INGLESIDE	3178	2080	45	722	232	99	209	1418
51710	413	POPLAR HALLS	5708	3730	88	1324	396	170	393	2507
51710	414	YOUNG PARK	5186	4485	24	358	226	93	210	2316
51710	503	EAST OCEAN VIEW	6388	1381	170	3972	539	326	624	3390
51710	504	LARRYMORE	3939	1264	225	1789	409	252	540	1733
51710	505	LITTLE CREEK	3691	699	178	2064	409	341	655	1575
51710	506	OCEAN VIEW CENTER	7387	2371	164	3382	823	647	1204	3498
51710	509	TARRALLTON	5314	660	254	3479	605	316	624	2075
