fips_id	precinct_number	precinct	population_total	population_black	population_asian	population_white	population_multiracial	population_other	population_hispanic	housing_units
51001	101	CHINCOTEAGUE	2941	23	17	2804	82	15	49	4519
51001	201	ATLANTIC	1592	268	8	1229	32	56	81	774
51001	202	GREENBACKVILLE	2038	133	15	1839	31	20	48	2258
51001	401	BLOXOM	1404	230	4	1045	35	90	133	643
51001	402	PARKSLEY	1805	341	18	1295	38	113	196	908
51001	501	MAPPSVILLE	1926	720	6	878	38	283	491	823
51001	502	RUE	1987	1062	12	661	19	233	499	834
51001	601	ACCOMAC	3385	870	13	2163	32	307	678	1607
51001	801	BOBTOWN	1081	139	4	910	4	24	20	665
51001	901	PAINTER	3694	1876	10	1656	35	117	261	1799
51003	101	WOODBROOK	3596	490	171	2743	113	79	160	1479
51003	103	BRANCHLANDS	2209	302	118	1477	96	217	384	1179
51003	104	AGNOR-HURT	4134	900	219	2525	158	332	654	1822
51003	105	DUNLORA	2665	232	119	2249	53	11	64	1282
51003	106	NORTHSIDE	4159	441	182	3302	143	91	180	1727
51003	203	GEORGETOWN	4741	1332	220	2707	208	274	553	2536
51003	301	IVY	4627	139	132	4292	53	11	84	1866
51003	302	RED HILL	4008	320	25	3514	61	89	192	1786
51003	304	EAST IVY	1144	26	20	1088	4	6	22	585
51003	305	COUNTRY GREEN	2912	177	157	2475	69	34	106	1355
51003	401	SCOTTSVILLE	2418	135	12	2226	21	24	51	1106
51003	402	MONTICELLO	2422	177	18	2153	50	24	43	1077
51003	406	STONE ROBINSON	3615	255	34	3180	87	59	94	1510
51003	501	KESWICK	1952	300	9	1576	55	12	59	1061
51003	502	STONY POINT	2108	100	19	1947	25	17	42	889
51003	503	HOLLYMEAD	3455	166	314	2837	84	54	92	1373
51003	504	FREE BRIDGE	2583	372	102	1986	52	71	150	1717
51003	601	CROZET	4697	166	93	4314	75	49	136	1998
51003	602	FREE UNION	2063	35	19	1948	39	22	35	940
51003	603	EARLYSVILLE	3984	113	65	3685	90	31	81	1566
51003	604	BROWNSVILLE	1959	174	15	1711	31	28	64	919
51005	101	ARRITT	1718	2	0	1707	5	4	3	842
51005	103	DAMERON	626	3	0	615	6	2	3	338
51005	201	HUMPBACK BRIDGE	1051	61	2	984	3	1	15	519
51005	202	DOLLY ANN	1143	72	5	1036	17	13	14	545
51005	301	CALLAGHAN	849	1	0	836	11	1	3	387
51005	302	GRIFFITH	1488	16	4	1445	13	10	22	722
51005	401	LOW MOOR	1002	48	8	922	16	8	9	483
51005	402	JACKSON HEIGHTS	1396	43	3	1337	11	2	22	653
51005	501	IRON GATE	589	31	0	548	9	1	4	275
51005	502	PETERS SWITCH	1623	17	1	1582	15	8	5	880
