"","district","compactness","ses"
"1","1",78.6796795557094,14.7747598058182
"2","2",82.7938081998292,12.2456614375282
"3","3",73.4430221235998,17.5042471371241
"4","4",66.5050835662165,20.2758221647221
"5","5",77.4985768406052,15.4382827174133
"6","6",54.3437568469037,22.8113177645498
"7","7",67.2951918975126,20.0087633722822
"8","8",40.9744804728943,22.1853999726583
"9","9",76.7418533899978,15.8487327726786
"10","10",75.4036053785165,16.5465683377261
"11","11",55.0346871122988,22.7465192568125
"12","12",61.8750264985703,21.5898374565825
"13","13",68.0103283613085,19.7562807231785
"14","14",76.3341694641685,16.0651151863246
"15","15",68.5923237034658,19.5432549930554
"16","16",77.5513099843526,15.4092531814611
"17","17",64.3304168282304,20.9463915352917
"18","18",71.7967593297279,18.2490128272192
"19","19",75.0459709530062,16.7269933902117
"20","20",70.6500915281566,18.7357371987876
"21","21",77.3869707849859,15.4995383122233
"22","22",69.1945265848273,19.3157014918436
"23","23",68.2186042014266,19.6808246095176
"24","24",72.8204666142201,17.7922630350926
"25","25",70.9246667707633,18.6215832053251
"26","26",52.3149737681205,22.9464089645291
"27","27",66.7519918593664,20.1937076874372
"28","28",82.0971171600189,12.6977507001602
"29","29",86.374833194074,9.76871510103295
"30","30",78.39746676137,14.9358388153688
"31","31",74.6686467737023,16.9145786635431
"32","32",76.3058556807779,16.0800195690209
"33","33",76.5538192560425,15.9489468291743
"34","34",74.3333725590847,17.0788697990078
"35","35",64.8109916297623,20.8063452694311
"36","36",84.047685452807,11.4075511530672
"37","37",85.0699789446985,10.7009657681841
"38","38",71.0811155495272,18.5558656718748
"39","39",70.6518656949526,18.7350044331764
"40","40",66.7996925360089,20.1777033069557
