SUMLEV	GEOCODE	GEOID	NAME	BASENAME	total_population_p001	white	black	american_indian	asian	pacific_islander	other	two_or_more	total_population_p002	hispanic	not_hispanic	housing_units_total	housing_units_occupied	housing_units_vacant
140	51159040200	1400000US51159040200	Census Tract 402	402	3506	2225	1029	6	17	0	93	136	3506	250	3256	1223	1024	199
140	51161030100	1400000US51161030100	Census Tract 301	301	3557	3294	31	8	21	3	22	178	3557	54	3503	1648	1497	151
140	51161030201	1400000US51161030201	Census Tract 302.01	302.01	4856	3592	677	16	184	0	96	291	4856	209	4647	1965	1883	82
140	51161030203	1400000US51161030203	Census Tract 302.03	302.03	3987	3179	335	7	194	0	65	207	3987	125	3862	1528	1454	74
140	51161030205	1400000US51161030205	Census Tract 302.05	302.05	4253	3251	418	1	223	6	157	197	4253	263	3990	1914	1836	78
140	51161030206	1400000US51161030206	Census Tract 302.06	302.06	4437	3437	419	9	165	0	137	270	4437	260	4177	2009	1907	102
140	51161030207	1400000US51161030207	Census Tract 302.07	302.07	2772	1800	537	33	114	0	66	222	2772	242	2530	1283	1175	108
140	51161030300	1400000US51161030300	Census Tract 303	303	7288	6572	221	14	107	0	82	292	7288	171	7117	3157	3002	155
140	51161030501	1400000US51161030501	Census Tract 305.01	305.01	1892	1681	165	3	1	0	4	38	1892	33	1859	469	426	43
140	51161030502	1400000US51161030502	Census Tract 305.02	305.02	2937	2548	61	6	165	0	18	139	2937	48	2889	1117	1083	34
140	51161030601	1400000US51161030601	Census Tract 306.01	306.01	5474	4751	84	6	307	0	53	273	5474	123	5351	2137	2023	114
140	51161030602	1400000US51161030602	Census Tract 306.02	306.02	2443	2036	56	6	184	0	29	132	2443	71	2372	941	903	38
140	51161030701	1400000US51161030701	Census Tract 307.01	307.01	6936	5909	169	7	402	6	71	372	6936	246	6690	2838	2725	113
140	51161030702	1400000US51161030702	Census Tract 307.02	307.02	5835	4624	452	20	204	0	150	385	5835	347	5488	2844	2650	194
140	51161030802	1400000US51161030802	Census Tract 308.02	308.02	5124	4396	221	11	148	1	66	281	5124	199	4925	2169	2076	93
140	51161030803	1400000US51161030803	Census Tract 308.03	308.03	3669	2602	366	9	357	0	79	256	3669	184	3485	1903	1740	163
140	51161030804	1400000US51161030804	Census Tract 308.04	308.04	1876	1577	79	11	77	0	37	95	1876	87	1789	956	856	100
140	51161030900	1400000US51161030900	Census Tract 309	309	6162	5227	280	15	239	5	70	326	6162	161	6001	3029	2801	228
140	51161031000	1400000US51161031000	Census Tract 310	310	3856	3422	144	27	25	0	61	177	3856	112	3744	1712	1610	102
140	51161031101	1400000US51161031101	Census Tract 311.01	311.01	4557	3742	363	13	73	0	67	299	4557	140	4417	2186	2063	123
140	51161031102	1400000US51161031102	Census Tract 311.02	311.02	3485	2979	217	5	21	0	47	216	3485	148	3337	1582	1470	112
140	51161031201	1400000US51161031201	Census Tract 312.01	312.01	5358	4777	200	6	108	2	38	227	5358	101	5257	2159	2099	60
140	51161031202	1400000US51161031202	Census Tract 312.02	312.02	6175	5384	269	10	143	1	75	293	6175	183	5992	2601	2498	103
140	51163930101	1400000US51163930101	Census Tract 9301.01	9301.01	3151	2700	161	9	77	2	35	167	3151	83	3068	1486	1325	161
140	51163930102	1400000US51163930102	Census Tract 9301.02	9301.02	4414	4026	68	30	11	2	89	188	4414	133	4281	2160	1847	313
140	51163930200	1400000US51163930200	Census Tract 9302	9302	4875	4545	81	7	42	1	35	164	4875	88	4787	2481	1997	484
140	51163930301	1400000US51163930301	Census Tract 9303.01	9303.01	2753	2528	46	7	10	1	28	133	2753	41	2712	1427	1206	221
140	51163930302	1400000US51163930302	Census Tract 9303.02	9303.02	3762	3459	33	17	37	1	36	179	3762	73	3689	1874	1651	223
140	51163930400	1400000US51163930400	Census Tract 9304	9304	3695	3225	186	24	10	2	38	210	3695	95	3600	1833	1576	257
140	51165010100	1400000US51165010100	Census Tract 101	101	3250	3052	24	2	12	1	49	110	3250	109	3141	1424	1289	135
140	51165010200	1400000US51165010200	Census Tract 102	102	3611	3282	118	6	12	1	55	137	3611	149	3462	1738	1579	159
